seed,model,task_id,task_name,route_drift,latent_drift,output_drift
0,Mutualistic09_distill_only,0,0 vs 1,0.0038062094972701743,0.3696472495794296,0.005303624660882633
0,Mutualistic09_distill_only,1,2 vs 3,0.001425552400178276,0.3327615037560463,0.0009995542714023031
0,Mutualistic09_distill_only,2,4 vs 5,0.0029428751731757075,0.2502768859267235,0.0009868758425000124
0,Mutualistic09_distill_only,3,6 vs 7,0.0002448122107141515,0.12744969595223665,0.00014662979901913786
0,Mutualistic09_route_memory_only,0,0 vs 1,0.007825357854017057,0.30800797417759895,0.5516463965177536
0,Mutualistic09_route_memory_only,1,2 vs 3,0.018022815696895123,0.24813540652394295,0.5446225330233574
0,Mutualistic09_route_memory_only,2,4 vs 5,0.008950183691922575,0.16618866100907326,0.13456561136990786
0,Mutualistic09_route_memory_only,3,6 vs 7,0.002337113270186819,0.20551812648773193,0.29636161774396896
0,Mutualistic09_latent_only,0,0 vs 1,0.03377756895497441,0.004634656244888902,0.013099941061227582
0,Mutualistic09_latent_only,1,2 vs 3,0.028920384822413325,0.004149385815253481,0.01282276160782203
0,Mutualistic09_latent_only,2,4 vs 5,0.36969397962093353,0.008991353504825383,0.002390510831901338
0,Mutualistic09_latent_only,3,6 vs 7,0.0018747624274055852,0.0025358349666930735,0.0018405634764349088
0,Mutualistic09_route_plus_latent,0,0 vs 1,0.06988337729126215,0.005263573839329183,0.007694248808547854
0,Mutualistic09_route_plus_latent,1,2 vs 3,0.001769067268469371,0.008201466524042189,0.017552865901961923
0,Mutualistic09_route_plus_latent,2,4 vs 5,0.02522375574335456,0.004782934265676886,0.0006843662049504928
0,Mutualistic09_route_plus_latent,3,6 vs 7,0.007535032345913351,0.004292874655220658,0.0055461114388890564
0,Mutualistic09_full_functional_memory,0,0 vs 1,0.006988634529989213,0.004044848348712549,0.005585830309428275
0,Mutualistic09_full_functional_memory,1,2 vs 3,0.004585612012306228,0.0015364278224296868,0.0019394288829062134
0,Mutualistic09_full_functional_memory,2,4 vs 5,0.0011391446314519271,0.0031666624709032476,0.00018192205652667326
0,Mutualistic09_full_functional_memory,3,6 vs 7,0.0003037935825063176,0.003092059399932623,0.0008038969172048382
1,Mutualistic09_distill_only,0,0 vs 1,0.009075568930711597,0.17835490964353085,0.004468589133466594
1,Mutualistic09_distill_only,1,2 vs 3,0.007312489964533597,0.19992575235664845,0.0029480651282938197
1,Mutualistic09_distill_only,2,4 vs 5,0.0027831541273144467,0.2225098479539156,0.00366130946940757
