seed,model,after_task,task_id,task_name,acc,route_entropy,route_dominance
0,Mutualistic09_route_plus_latent,4,1,2 vs 3,0.959,0.0810195212252438,0.9834118187427521
0,Mutualistic09_route_plus_latent,4,2,4 vs 5,1.0,0.31750546023249626,0.8997907862067223
0,Mutualistic09_route_plus_latent,4,3,6 vs 7,0.9985,0.08457423094660044,0.9746420532464981
0,Mutualistic09_route_plus_latent,4,4,8 vs 9,0.9975,0.019137538562063128,0.9937804862856865
0,Mutualistic09_full_functional_memory,0,0,0 vs 1,0.9875,0.0583860338665545,0.9820264056324959
0,Mutualistic09_full_functional_memory,1,0,0 vs 1,0.9855,0.06839907472021878,0.981009766459465
0,Mutualistic09_full_functional_memory,1,1,2 vs 3,0.964,0.05235437513329089,0.9826711937785149
0,Mutualistic09_full_functional_memory,2,0,0 vs 1,0.9845,0.05756937572732568,0.9821600243449211
0,Mutualistic09_full_functional_memory,2,1,2 vs 3,0.965,0.04175443819258362,0.9862708374857903
0,Mutualistic09_full_functional_memory,2,2,4 vs 5,1.0,0.005598606730927713,0.9988746643066406
0,Mutualistic09_full_functional_memory,3,0,0 vs 1,0.9835,0.15284489002078772,0.9590575732290745
0,Mutualistic09_full_functional_memory,3,1,2 vs 3,0.9645,0.12668581539765,0.9661448113620281
0,Mutualistic09_full_functional_memory,3,2,4 vs 5,1.0,0.06631707516498864,0.985250536352396
0,Mutualistic09_full_functional_memory,3,3,6 vs 7,1.0,0.0008629553899481834,0.9998031556606293
0,Mutualistic09_full_functional_memory,4,0,0 vs 1,0.986,0.16455204971134663,0.955310370773077
0,Mutualistic09_full_functional_memory,4,1,2 vs 3,0.9635,0.1304293181747198,0.964946486055851
0,Mutualistic09_full_functional_memory,4,2,4 vs 5,1.0,0.06249890080653131,0.9860603511333466
0,Mutualistic09_full_functional_memory,4,3,6 vs 7,0.9995,0.0008377305787234945,0.9997627548873425
0,Mutualistic09_full_functional_memory,4,4,8 vs 9,0.998,0.0022756868056603707,0.9994251020252705
1,Mutualistic09_distill_only,0,0,0 vs 1,0.985,0.14689938817173243,0.9535256363451481
1,Mutualistic09_distill_only,1,0,0 vs 1,0.9855,0.1940959319472313,0.9370121099054813
1,Mutualistic09_distill_only,1,1,2 vs 3,0.967,0.26119455322623253,0.8868601769208908
1,Mutualistic09_distill_only,2,0,0 vs 1,0.9865,0.18545473599806428,0.939763180911541
1,Mutualistic09_distill_only,2,1,2 vs 3,0.9665,0.24423310346901417,0.8931761793792248
1,Mutualistic09_distill_only,2,2,4 vs 5,0.9995,0.0075935302302241325,0.9983420111238956
1,Mutualistic09_distill_only,3,0,0 vs 1,0.9865,0.1739625846967101,0.9445183090865612
1,Mutualistic09_distill_only,3,1,2 vs 3,0.9665,0.22469362616539001,0.9023195542395115
1,Mutualistic09_distill_only,3,2,4 vs 5,1.0,0.003262479636759963,0.9991848729550838
1,Mutualistic09_distill_only,3,3,6 vs 7,1.0,0.005802220737677999,0.9987326189875603
1,Mutualistic09_distill_only,4,0,0 vs 1,0.986,0.17326692957431078,0.9453759118914604
1,Mutualistic09_distill_only,4,1,2 vs 3,0.967,0.21944323740899563,0.9069559089839458
1,Mutualistic09_distill_only,4,2,4 vs 5,0.999,0.0050573562330100685,0.9984744638204575
1,Mutualistic09_distill_only,4,3,6 vs 7,1.0,0.00856480436050333,0.9981280006468296
1,Mutualistic09_distill_only,4,4,8 vs 9,0.998,0.005413796607172117,0.9985410012304783
1,Mutualistic09_route_memory_only,0,0,0 vs 1,0.985,0.14689938817173243,0.9535256363451481
1,Mutualistic09_route_memory_only,1,0,0 vs 1,0.3265,0.11880594631657004,0.9643101505935192
1,Mutualistic09_route_memory_only,1,1,2 vs 3,0.9705,0.03620138776022941,0.9916219562292099
1,Mutualistic09_route_memory_only,2,0,0 vs 1,0.517,0.16675116959959269,0.9475554563105106
1,Mutualistic09_route_memory_only,2,1,2 vs 3,0.5065,0.029308773402590305,0.993224460631609
1,Mutualistic09_route_memory_only,2,2,4 vs 5,1.0,0.007236876626848243,0.9984372407197952
1,Mutualistic09_route_memory_only,3,0,0 vs 1,0.5505,0.1351541532203555,0.956286258995533
