model,final_acc_mean,final_acc_std,forgetting_mean,forgetting_std,params_mean
Mutualistic09_full_functional_memory,0.9907999999999999,0.0008743251365735886,0.00041999999999999145,0.00029739610697593376,1232543.0
Mutualistic09_distill_only,0.99132,0.0007450577904505963,0.0004299999999999993,0.00019465068427541632,1232543.0
Mutualistic09_latent_only,0.99049,0.0007866242926440793,0.000979999999999992,0.0008753412033157287,1232543.0
Mutualistic09_route_plus_latent,0.99027,0.0012302212989720423,0.0011400000000000032,0.0009299940262651676,1232543.0
Mutualistic09_route_memory_only,0.69585,0.10871360182710448,0.29514,0.10922509072756334,1232543.0
