seed,model,task_id,task_name,best_acc,final_acc,per_task_forgetting
2,Mutualistic09_route_memory_only,3,6 vs 7,1.0,0.734,0.266
2,Mutualistic09_route_memory_only,4,8 vs 9,0.9975,0.9975,0.0
2,Mutualistic09_route_plus_latent,0,0 vs 1,0.9915,0.9915,0.0
2,Mutualistic09_route_plus_latent,1,2 vs 3,0.9685,0.9685,0.0
2,Mutualistic09_route_plus_latent,2,4 vs 5,1.0,0.9995,0.0004999999999999449
2,Mutualistic09_route_plus_latent,3,6 vs 7,1.0,1.0,0.0
2,Mutualistic09_route_plus_latent,4,8 vs 9,0.997,0.997,0.0
3,Mutualistic09_distill_only,0,0 vs 1,0.9875,0.987,0.000500000000000056
3,Mutualistic09_distill_only,1,2 vs 3,0.9735,0.9735,0.0
3,Mutualistic09_distill_only,2,4 vs 5,1.0,0.9995,0.0004999999999999449
3,Mutualistic09_distill_only,3,6 vs 7,1.0,1.0,0.0
3,Mutualistic09_distill_only,4,8 vs 9,0.998,0.998,0.0
3,Mutualistic09_full_functional_memory,0,0 vs 1,0.987,0.985,0.0020000000000000018
3,Mutualistic09_full_functional_memory,1,2 vs 3,0.9715,0.9705,0.0010000000000000009
3,Mutualistic09_full_functional_memory,2,4 vs 5,1.0,0.999,0.0010000000000000009
3,Mutualistic09_full_functional_memory,3,6 vs 7,1.0,1.0,0.0
3,Mutualistic09_full_functional_memory,4,8 vs 9,0.9975,0.9975,0.0
3,Mutualistic09_latent_only,0,0 vs 1,0.987,0.986,0.0010000000000000009
3,Mutualistic09_latent_only,1,2 vs 3,0.973,0.973,0.0
3,Mutualistic09_latent_only,2,4 vs 5,1.0,0.9995,0.0004999999999999449
3,Mutualistic09_latent_only,3,6 vs 7,1.0,1.0,0.0
3,Mutualistic09_latent_only,4,8 vs 9,0.998,0.998,0.0
3,Mutualistic09_route_memory_only,0,0 vs 1,0.985,0.4995,0.4855
3,Mutualistic09_route_memory_only,1,2 vs 3,0.971,0.6835,0.2875
3,Mutualistic09_route_memory_only,2,4 vs 5,1.0,0.8995,0.10050000000000003
3,Mutualistic09_route_memory_only,3,6 vs 7,0.9995,0.796,0.20350000000000001
3,Mutualistic09_route_memory_only,4,8 vs 9,0.998,0.998,0.0
3,Mutualistic09_route_plus_latent,0,0 vs 1,0.989,0.989,0.0
3,Mutualistic09_route_plus_latent,1,2 vs 3,0.973,0.972,0.0010000000000000009
3,Mutualistic09_route_plus_latent,2,4 vs 5,1.0,1.0,0.0
3,Mutualistic09_route_plus_latent,3,6 vs 7,1.0,1.0,0.0
3,Mutualistic09_route_plus_latent,4,8 vs 9,0.998,0.998,0.0
4,Mutualistic09_distill_only,0,0 vs 1,0.989,0.9885,0.0004999999999999449
4,Mutualistic09_distill_only,1,2 vs 3,0.9725,0.9715,0.0010000000000000009
4,Mutualistic09_distill_only,2,4 vs 5,1.0,0.9995,0.0004999999999999449
4,Mutualistic09_distill_only,3,6 vs 7,1.0,1.0,0.0
4,Mutualistic09_distill_only,4,8 vs 9,0.999,0.999,0.0
