seed,model,task_id,task_name,epoch,lambda_route_memory,lambda_distill,lambda_latent,lambda_entropy,task_loss,entropy,dominance,mutualism_violation,gain_mean,gain_min,route_memory_loss,distill_loss,latent_loss,alpha,total_loss
0,Mutualistic09_distill_only,0,0 vs 1,0,0.0,1.0,0.0,0.005,0.19035860048012532,0.47649573566431697,0.8313962896453574,0.001240104391873753,0.036084218745445276,-0.005285025990389763,0.0,0.0,0.0,0.0,0.2104292889224722
0,Mutualistic09_distill_only,0,0 vs 1,2,0.0,1.0,0.0,0.005,0.03697730084643402,0.1358750676538082,0.9630661162924259,0.0006784161105242868,0.04555683061381445,-0.002946991285190303,0.0,0.0,0.0,0.0,0.04799184650975339
0,Mutualistic09_distill_only,0,0 vs 1,3,0.0,1.0,0.0,0.005,0.02461310835713719,0.1278558505025316,0.9652161395296137,0.000363196308529602,0.05621826842407438,-0.0011836517740912893,0.0,0.0,0.0,0.5,0.03489233232400519
0,Mutualistic09_distill_only,0,0 vs 1,14,0.0,1.0,0.0,0.005,0.007674690118019885,0.0721025899686712,0.9789206322203291,2.835927816147402e-05,0.0823576826146467,-8.737593096621494e-05,0.0,0.0,0.0,1.0,0.011997835126091191
0,Mutualistic09_distill_only,1,2 vs 3,0,0.0,1.0,0.0,0.005,0.18907642641917188,0.1450643578266844,0.9435259141820542,0.0006097307642458544,0.24849207145459157,-0.002827088883582582,0.0006484760418487969,0.026479958166786905,0.3057796346429894,0.0,0.2349424573018196
0,Mutualistic09_distill_only,1,2 vs 3,2,0.0,1.0,0.0,0.005,0.07489551734575566,0.11014498865350764,0.9597239215323266,0.00014006043846560875,0.264506310858625,-0.0006055661893271386,0.0009566849392121321,0.00962283196759985,0.20542507285767414,0.0,0.09775420833141246
0,Mutualistic09_distill_only,1,2 vs 3,3,0.0,1.0,0.0,0.005,0.07263457018168683,0.08015114893304541,0.9749476351636521,0.0001532002691738911,0.1749366693040158,-0.0006719065750850008,0.0008293089875664048,0.008457915956511143,0.1876730167485298,0.5,0.09257602866025681
0,Mutualistic09_distill_only,1,2 vs 3,14,0.0,1.0,0.0,0.005,0.03300836111636872,0.036765501140914064,0.9896964519581897,2.5654788997451546e-05,0.3044581172314096,-0.00010422526046316674,0.0010379346701932582,0.002442197233904153,0.11529142251040073,1.0,0.04122120393638281
0,Mutualistic09_distill_only,2,4 vs 5,0,0.0,1.0,0.0,0.005,0.11514003703648105,0.38204841030404924,0.8649242545696015,0.0012370477431064269,0.3237874127647027,-0.005310552828806512,0.00033850143225866674,0.014728267044739233,0.21876661878071746,0.0,0.15968727978303077
0,Mutualistic09_distill_only,2,4 vs 5,2,0.0,1.0,0.0,0.005,0.004367305936807013,0.0323878630123874,0.9904049977343133,7.34041295509861e-05,0.030597436053559503,-0.0002716585022813462,0.0002848177172904314,0.002945403694769645,0.3240105027848102,0.0,0.01899076532572508
