model,route_drift,latent_drift,output_drift,per_task_forgetting,final_acc_mean
Mutualistic09_full_functional_memory,0.005429269734951198,0.003606306583822061,0.002290843125470232,0.0005249999999999893,0.9907999999999999
Mutualistic09_distill_only,0.01611031885662193,0.22843687233980745,0.0021217262163048646,0.0005374999999999991,0.99132
Mutualistic09_latent_only,0.3571856075123675,0.003976171213010105,0.007365035730498093,0.00122499999999999,0.99049
Mutualistic09_route_plus_latent,0.03175175174057625,0.004746741031522106,0.007172097280681555,0.001425000000000004,0.99027
Mutualistic09_route_memory_only,0.016424035426087124,0.25421741520985963,0.6864259531488642,0.36892500000000006,0.69585
