seed,model,after_task,task_id,task_name,host_0,host_1,host_2,host_3,host_4
0,Mutualistic09_distill_only,0,0,0 vs 1,0.476205974817276,0.0008674341952428222,0.5172699093818665,0.005153543781489134,0.0005031290929764509
0,Mutualistic09_distill_only,1,0,0 vs 1,0.4783892035484314,0.0016451430274173617,0.5115892291069031,0.007079321891069412,0.0012972138356417418
0,Mutualistic09_distill_only,1,1,2 vs 3,0.00802082009613514,0.0007115257321856916,0.9895828366279602,0.0015327651053667068,0.00015210226410999894
0,Mutualistic09_distill_only,2,0,0 vs 1,0.4812602400779724,0.0015700701624155045,0.5088799595832825,0.006792488042265177,0.0014972509816288948
0,Mutualistic09_distill_only,2,1,2 vs 3,0.008883167989552021,0.0008278427412733436,0.9884517192840576,0.0016245985170826316,0.00021266753901727498
0,Mutualistic09_distill_only,2,2,4 vs 5,0.004422043450176716,0.00010240382107440382,0.4953696131706238,8.706830703886226e-05,0.5000188946723938
0,Mutualistic09_distill_only,3,0,0 vs 1,0.4810439944267273,0.0011837418423965573,0.5093076229095459,0.00739087350666523,0.0010737183038145304
0,Mutualistic09_distill_only,3,1,2 vs 3,0.010045346803963184,0.0007621677941642702,0.9872317314147949,0.0018558689625933766,0.00010490727436263114
0,Mutualistic09_distill_only,3,2,4 vs 5,0.001109466073103249,3.698039654409513e-05,0.4989771842956543,3.478090729913674e-05,0.4998415410518646
0,Mutualistic09_distill_only,3,3,6 vs 7,0.00019387283828109503,4.8131711082533e-05,0.4996120035648346,1.3963685887574684e-05,0.5001319646835327
0,Mutualistic09_distill_only,4,0,0 vs 1,0.48264026641845703,0.0005503343418240547,0.5090226531028748,0.007588949520140886,0.00019775587134063244
0,Mutualistic09_distill_only,4,1,2 vs 3,0.01078611146658659,0.0001352345134364441,0.9867556095123291,0.002288967138156295,3.408884003874846e-05
0,Mutualistic09_distill_only,4,2,4 vs 5,0.0010957318590953946,2.84664893115405e-05,0.4990309774875641,3.917422509402968e-05,0.4998056888580322
0,Mutualistic09_distill_only,4,3,6 vs 7,0.00020647799829021096,3.4097785828635097e-05,0.49915990233421326,1.3916803254687693e-05,0.5005855560302734
0,Mutualistic09_distill_only,4,4,8 vs 9,0.0011407501297071576,6.557734741363674e-05,0.497293084859848,0.00011201889719814062,0.5013886094093323
0,Mutualistic09_route_memory_only,0,0,0 vs 1,0.476205974817276,0.0008674341952428222,0.5172699093818665,0.005153543781489134,0.0005031290929764509
0,Mutualistic09_route_memory_only,1,0,0 vs 1,0.4780779182910919,0.005957292392849922,0.51108717918396,0.004199579823762178,0.000678059586789459
0,Mutualistic09_route_memory_only,1,1,2 vs 3,0.0022751695942133665,0.028237728402018547,0.9683617353439331,0.0009749173186719418,0.00015042978338897228
0,Mutualistic09_route_memory_only,2,0,0 vs 1,0.47073468565940857,0.005639257375150919,0.5218536853790283,0.0016481663333252072,0.00012418610276654363
0,Mutualistic09_route_memory_only,2,1,2 vs 3,0.0018938140710815787,0.02802850306034088,0.9695891737937927,0.0004637964302673936,2.474748544045724e-05
0,Mutualistic09_route_memory_only,2,2,4 vs 5,0.011119287461042404,0.49996745586395264,0.48863160610198975,0.00023221957962960005,4.950102083967067e-05
